figure_csv	csv_line	label	csv_ppl	source_ppl	ppl_matches	csv_work_column	source_mean_effective_precision	source_executed_digit_ratio	work_matches_rounding_1e_4	source_scored_tokens	snapshot_path
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	12	16db	22.9577	22.9577	True	0.45003333333333334	1.3501	0.45003333333333334	True	5503	evidence/snapshots/data/calib-data/16db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	13	17db	22.2215	22.2215	True	0.4864	1.4592	0.4864	True	5503	evidence/snapshots/data/calib-data/17db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	14	18db	21.4902	21.4902	True	0.5170333333333333	1.5511	0.5170333333333333	True	5503	evidence/snapshots/data/calib-data/18db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	15	19db	21.0798	21.0798	True	0.5512666666666667	1.6538	0.5512666666666667	True	5503	evidence/snapshots/data/calib-data/19db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	16	20db	20.8571	20.8571	True	0.5858333333333333	1.7575	0.5858333333333333	True	5503	evidence/snapshots/data/calib-data/20db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	17	21db	20.6747	20.6747	True	0.6171666666666666	1.8515	0.6171666666666666	True	5503	evidence/snapshots/data/calib-data/21db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	18	22db	20.2646	20.2646	True	0.6455333333333334	1.9366	0.6455333333333334	True	5503	evidence/snapshots/data/calib-data/22db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	19	23db	20.2781	20.2781	True	0.6726666666666666	2.018	0.6726666666666666	True	5503	evidence/snapshots/data/calib-data/23db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	20	24db	20.2781	20.2781	True	0.7026666666666666	2.018	0.6726666666666666	False	5503	evidence/snapshots/data/calib-data/23db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_a_data.csv	21	25db	20.0209	20.0209	True	0.7267666666666667	2.1803	0.7267666666666667	True	5503	evidence/snapshots/data/calib-data/25db/ppl_results_MXFP8_fix_time.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	2	AtoB_p10_seed0	27.7255	18.7255	False	0.152326	1.2595	0.41983333333333334	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p10_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	3	AtoB_p10_seed0	18.7255	18.7255	True	0.152326	1.2595	0.41983333333333334	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p10_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	4	AtoB_p15_seed0	18.331	18.331	True	0.154014	1.2784	0.4261333333333333	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p15_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	5	AtoB_p20_seed0	18.5167	18.5167	True	0.151382	1.2499	0.41663333333333336	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p20_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	6	AtoB_p25_seed0	18.4798	18.4798	True	0.15275	1.2646	0.4215333333333333	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p25_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	7	AtoB_p30_seed0	18.6303	18.6303	True	0.152522	1.262	0.4206666666666667	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p30_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	8	AtoB_p35_seed0	18.3885	18.3885	True	0.152088	1.2574	0.41913333333333336	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p35_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	9	AtoB_p40_seed0	18.5925	18.5925	True	0.15283	1.2653	0.4217666666666667	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p40_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	10	AtoB_p50_seed0	18.4033	18.4033	True	0.153047	1.2679	0.42263333333333336	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p50_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	11	AtoB_p60_seed0	18.7107	18.7107	True	0.153135	1.2689	0.42296666666666666	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p60_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	12	AtoB_p70_seed0	18.6125	18.6125	True	0.152891	1.2662	0.42206666666666665	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p70_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	13	AtoB_p80_seed0	18.5308	18.5308	True	0.152325	1.2599	0.41996666666666665	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p80_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	14	AtoB_p90_seed0	18.6598	18.6598	True	0.15188	1.2548	0.4182666666666666	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p90_seed0.json
assets/snapshots/figure/figure6/figure6_panel_b_data.csv	15	AtoB_p100_seed0	18.6162	18.6162	True	0.15296	1.2671	0.4223666666666666	False	22336	evidence/snapshots/6b/atob_seed0_capscan_v2/cap2x_full/evals-test/ppl_AtoB_p100_seed0.json
