source_root	source_path	size_bytes	disposition
../data	arrival_hist/18db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist.json	13438	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist.png	44007	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist_bins.csv	5788	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist_layer_summary.csv	2481	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP8/arrival_hist.json	13946	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP8/arrival_hist.png	43317	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP8/arrival_hist_bins.csv	7152	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP8/arrival_hist_layer_summary.csv	2517	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP8_fixed_sum/arrival_hist.json	13431	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP8_fixed_sum/arrival_hist.png	44935	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP8_fixed_sum/arrival_hist_bins.csv	5748	external_original_not_selected
../data	arrival_hist/18db/calibration_MXFP8_fixed_sum/arrival_hist_layer_summary.csv	2486	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP4/arrival_hist.json	13838	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP4/arrival_hist.png	42600	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP4/arrival_hist_bins.csv	6792	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP4/arrival_hist_layer_summary.csv	2489	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP4_fixed_sum/arrival_hist.json	13550	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP4_fixed_sum/arrival_hist.png	45088	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP4_fixed_sum/arrival_hist_bins.csv	5971	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP4_fixed_sum/arrival_hist_layer_summary.csv	2509	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E2M3/arrival_hist.json	13941	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E2M3/arrival_hist.png	44558	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E2M3/arrival_hist_bins.csv	7055	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E2M3/arrival_hist_layer_summary.csv	2517	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist.json	13527	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist.png	45779	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist_bins.csv	5893	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E2M3_fixed_sum/arrival_hist_layer_summary.csv	2500	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E3M2/arrival_hist.json	13831	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E3M2/arrival_hist.png	44118	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E3M2/arrival_hist_bins.csv	6933	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E3M2/arrival_hist_layer_summary.csv	2470	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist.json	13545	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist.png	45883	external_original_not_selected
../data	arrival_hist/20db/calibration_MXFP6_E3M2_fixed_sum/arrival_hist_bins.csv	5915	external_original_not_selected
